#OTUID	CN18SKOA_ESP36_NN	CN18SKOA_ESP39_NN	CN18SKOA_ESP41_NN	CN18SKOA_ESP44_NN	CN18Sc14_8_eDNA_NN	CN18Sc15_8_eDNA_NN	CN18Sc18_8_eDNA_NN	CN18Sc27_8_eDNA_NN
ASV_1667	0	0	0	0	0	0	0	0
ASV_1668	0	0	0	0	0	0	0	0
ASV_1669	0	0	0	2	0	0	7	0
ASV_1670	0	0	0	0	0	0	0	0
ASV_1671	0	0	0	0	0	0	0	0
ASV_1672	0	0	0	0	0	0	0	0
ASV_1673	0	0	0	0	0	0	0	0
ASV_1674	0	0	0	1	0	0	0	0
ASV_1675	0	0	0	0	0	0	0	0
ASV_1676	0	0	0	0	0	0	0	0
ASV_1677	0	0	0	0	0	0	0	0
ASV_1678	0	0	0	0	0	0	0	0
ASV_1679	0	0	0	0	0	0	0	0
ASV_1680	0	0	0	0	0	0	0	0
ASV_1681	0	0	0	0	0	0	0	0
ASV_1682	0	0	0	0	0	0	0	0
ASV_1683	0	0	0	0	0	0	0	0
ASV_1684	0	0	0	0	0	0	0	0
ASV_1685	0	0	0	0	0	0	0	0
ASV_1686	0	0	0	0	0	0	0	0
ASV_1687	0	0	0	0	0	0	0	0
ASV_1689	0	0	0	0	0	0	0	0
ASV_1690	0	0	0	0	0	0	0	0
ASV_1691	0	0	0	0	0	0	0	0
ASV_1692	0	0	0	0	0	0	0	0
ASV_1693	0	0	0	0	0	0	0	0
ASV_1694	0	0	0	0	0	0	0	0
ASV_1695	0	0	0	0	0	0	0	0
ASV_1696	0	0	0	0	0	0	0	0
ASV_1697	0	0	0	0	0	0	0	0
ASV_1698	0	0	0	0	0	0	0	0
ASV_1699	0	0	0	0	0	0	0	0
ASV_1700	0	0	0	0	0	0	0	0
ASV_1701	0	0	0	0	0	0	0	0
ASV_1702	0	0	0	0	0	0	0	0
ASV_1703	0	0	0	0	0	0	0	0
ASV_1704	0	0	0	0	0	0	0	0
ASV_1705	0	0	0	0	0	0	0	0
ASV_1706	0	0	0	0	0	0	0	0
ASV_1707	0	0	0	0	0	0	0	0
ASV_1708	0	0	0	0	0	0	0	0
ASV_1709	0	0	0	0	0	0	0	0
ASV_1710	0	0	0	0	0	0	0	0
ASV_1711	0	0	0	0	0	0	0	0
ASV_1713	0	0	0	0	0	0	0	0
ASV_1714	0	0	0	0	0	0	0	0
ASV_1715	0	0	0	0	0	0	0	0
ASV_1716	0	0	0	0	0	0	0	0
ASV_1717	0	0	0	0	0	0	0	0
ASV_1718	0	0	0	0	0	0	0	0
ASV_1719	0	0	0	0	0	0	0	0
