#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10640	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Haleciidae	g_	s_
ASV_10641	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10644	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10650	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	s_
ASV_10653	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10657	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10658	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_10661	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10662	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10667	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10677	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_10684	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_10687	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_10688	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10692	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10693	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10694	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10697	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10698	Eukaryota	Porifera	Demospongiae	Desmacellida	Desmacellidae	g_	s_
ASV_10701	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_10709	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10710	Eukaryota	Oomycota	Oomycetes	Pythiales	Pythiaceae	g_	s_
ASV_10711	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Paraphysomonadaceae	g_	s_
ASV_10713	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10715	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Scytosiphonaceae	g_	s_
ASV_10720	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10722	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10723	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10724	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10726	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_10727	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10728	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10738	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10739	Eukaryota	Bacillariophyta	Fragilariophyceae	Thalassionemales	Thalassionemataceae	g_	s_
ASV_10746	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10748	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_10749	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_10750	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_10751	Eukaryota	Arthropoda	Insecta	Diptera	unassigned	g_	s_
ASV_10753	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10756	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10757	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10758	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10759	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia cuspidata
ASV_10761	Eukaryota	Chlorophyta	Nephroselmidophyceae	unknown	unknown	g_	s_
ASV_10762	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10775	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10776	Eukaryota	Mollusca	Bivalvia	Arcoida	Arcidae	g_	s_
ASV_10780	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_10786	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10793	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	g_	s_
ASV_10794	Eukaryota	unknown	Labyrinthulomycetes	unknown	Thraustochytriaceae	g_	s_
ASV_10809	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_10815	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10816	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10817	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10818	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	unassigned	g_	s_
ASV_10820	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_10821	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_10823	Eukaryota	Arthropoda	Arachnida	Sarcoptiformes	Peloppiidae	g_	s_
ASV_10837	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	g_	s_
ASV_10838	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_10840	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10841	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10843	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10844	Eukaryota	Bacillariophyta	Mediophyceae	unassigned	unassigned	g_	s_
ASV_10846	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Prionace	Prionace glauca
ASV_10848	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10849	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10856	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10875	Eukaryota	unknown	Labyrinthulomycetes	unknown	Thraustochytriaceae	g_	s_
ASV_10885	Eukaryota	Oomycota	Oomycetes	Lagenidiales	Lagenidiaceae	g_	s_
ASV_10888	Eukaryota	Arthropoda	Insecta	unassigned	unassigned	g_	s_
ASV_10889	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	g_	s_
ASV_10890	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_10891	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	g_	s_
ASV_10892	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_10893	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_10895	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10896	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10897	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10898	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_10899	Eukaryota	Arthropoda	Arachnida	unassigned	unassigned	g_	s_
ASV_10901	Eukaryota	unknown	unknown	Telonemida	unassigned	g_	s_
ASV_10902	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	g_	s_
ASV_10904	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	g_	s_
ASV_10906	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_10907	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_10911	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_10913	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_10916	Eukaryota	Rhodophyta	Florideophyceae	unassigned	unassigned	g_	s_
ASV_10919	Eukaryota	Arthropoda	Arachnida	Araneae	Sparassidae	g_	s_
ASV_10921	Eukaryota	Arthropoda	Arachnida	Araneae	Gradungulidae	g_	s_
ASV_10924	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_10925	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	g_	s_
ASV_10927	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10928	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10931	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10934	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Scytosiphonaceae	g_	s_
ASV_10949	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10952	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10953	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_10955	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10964	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_10966	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_10967	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_10971	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10973	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_10975	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_10977	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_10978	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	g_	s_
ASV_10981	Eukaryota	Arthropoda	Insecta	Hemiptera	Cicadellidae	g_	s_
ASV_10987	Eukaryota	Arthropoda	Insecta	unassigned	unassigned	g_	s_
ASV_10994	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_10995	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	g_	s_
ASV_10996	Eukaryota	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_10997	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11002	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11003	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11004	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Paraphysomonadaceae	g_	s_
ASV_11006	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_11013	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11018	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11019	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11035	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Myxoderma	Myxoderma platyacanthum
ASV_11037	Eukaryota	Arthropoda	Insecta	Lepidoptera	unknown	g_	s_
ASV_11039	Eukaryota	Chlorophyta	unknown	Pyramimonadales	unknown	g_	s_
ASV_11041	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11046	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Paraphysomonadaceae	g_	s_
ASV_11048	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11049	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_11050	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_11051	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11053	Eukaryota	Mollusca	Bivalvia	Arcoida	Arcidae	g_	s_
ASV_11054	Eukaryota	Arthropoda	Insecta	Hemiptera	Cicadidae	g_	s_
ASV_11056	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_11058	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11059	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11061	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_11063	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_11071	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_11072	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_11073	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11088	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_11089	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_11090	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11093	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11094	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11095	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11097	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11104	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11115	Eukaryota	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae
ASV_11125	Eukaryota	Arthropoda	Insecta	Diptera	Mycetophilidae	g_	s_
ASV_11131	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	g_	s_
ASV_11134	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11135	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	g_	s_
ASV_11137	Eukaryota	Oomycota	Oomycetes	Pythiales	Pythiaceae	g_	s_
ASV_11140	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11141	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	unassigned	g_	s_
ASV_11144	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	g_	s_
ASV_11145	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11148	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_11153	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11157	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11158	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	g_	s_
ASV_11160	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11165	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11169	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11173	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11179	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11181	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11182	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11191	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11192	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_11193	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11198	Eukaryota	Ochrophyta	Phaeophyceae	Sphacelariales	Choristocarpaceae	g_	s_
ASV_11202	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_11206	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Peyssonneliaceae	g_	s_
ASV_11212	Eukaryota	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_11214	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11215	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_11219	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11222	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11225	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11227	Eukaryota	unknown	unknown	Telonemida	unassigned	g_	s_
ASV_11228	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_11229	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	s_
ASV_11230	Eukaryota	Chlorophyta	unknown	Pyramimonadales	unassigned	g_	s_
ASV_11233	Eukaryota	Arthropoda	Insecta	Diptera	Mycetophilidae	g_	s_
ASV_11236	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_11237	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11260	Bacteria	unknown	unknown	unknown	unknown	g_	s_
ASV_11265	Eukaryota	unknown	unknown	unknown	unknown	g_	s_
ASV_11288	Eukaryota	Arthropoda	Insecta	Diptera	Mycetophilidae	g_	s_
ASV_11289	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_11293	Eukaryota	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_11295	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_11300	Eukaryota	Oomycota	Oomycetes	Pythiales	Pythiogetonaceae	g_	s_
ASV_11301	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	g_	s_
ASV_11303	Eukaryota	Arthropoda	Insecta	Diptera	unassigned	g_	s_
ASV_11304	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_11307	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_11312	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11317	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_11326	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_11332	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Dumontiaceae	g_	s_
ASV_11335	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_11350	Eukaryota	Arthropoda	Arachnida	Araneae	Zodariidae	g_	s_
ASV_11352	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11354	Eukaryota	Mollusca	Gastropoda	Stylommatophora	Hygromiidae	g_	s_
ASV_11363	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	g_	s_
ASV_11366	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	g_	s_
ASV_11377	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_11384	Eukaryota	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_11414	Eukaryota	Arthropoda	Insecta	Diptera	Ceratopogonidae	g_	s_
ASV_11445	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_11487	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11488	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11489	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11491	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11492	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11493	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11494	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11495	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11496	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11498	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11499	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11500	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11501	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11503	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11504	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11506	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11507	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11509	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11510	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11512	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11513	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11514	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11515	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11516	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11517	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11518	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11520	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11521	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11522	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11523	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11524	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11525	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11527	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11528	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11531	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11534	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11535	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11537	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11538	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11539	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11540	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11541	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11543	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11547	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11548	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11549	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11550	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11551	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11552	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11554	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11555	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11556	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11558	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11559	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11560	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11561	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11562	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11564	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11565	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11566	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11567	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11568	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11570	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11574	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11575	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11577	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11579	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11581	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11582	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11583	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11584	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11585	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11586	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11588	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11590	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_11591	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
