#OTUID	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN17_B1	CN17_B10	CN17_B13	CN17_B17	CN17_B20	CN17_B23	CN17_CBI1	CN17_CBI10	CN17_CBI4	CN17_CBI5	CN17_CBI8	CN17_CBI9
b40bf23a7f929b48ca8cc66dd8732d9b	0	0	0	0	0	0	0	0	12	0	13	0	0	12	9	12	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f5f5e0da89730462abaf6301a9557193	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	12	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	0	14	0	0	0	0	0	11	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
945184b6386c192c0066e0a98a154780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f18f5ad5d77e2f924a44b722dc9d8565	0	0	15	0	0	13	0	0	13	0	0	0	12	7	11	0	7	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce3de70dd070885b7c733a775c8f8e23	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15707a24dc6e34ed81b3a4a43a5c1e4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	7	0	11	0	10	0	18	0	0	0	0	0	0	6	0	7	0	19	0	0	0	0	0	0	0	0	0	0	0	0
016d957ab3588504d968a276d18e0698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21	0	0	11	0	14	0	11	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0
69c030fb6f8cb4e6200a4fd89f7b0d05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	31	0	0	0	0	0	0	0	0	0	0	0	0
263ac8bf1461e10640323bd4d58c5f29	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	20	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5cafb1f3f7b29ddbc119350937a8f574	0	0	0	3	4	0	0	0	0	0	3	0	0	0	6	3	5	6	0	0	0	0	0	0	0	0	9	2	3	0	0	6	0	2	0	8	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
667056e7769500e21052bd12d4ffde76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f89e16f4c870a37e36abe68065c5afe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	13	0	0	0	12	0	16	0	0	0	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ddae1224ee2b9f4fa5c8a8d79882e704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	14	0	0	0	25	0	0	16	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f758d9e541b80a80dc44dc5b65170ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	67	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1945e1a267b9fd2af0f8bb1706b0a2ae	0	0	9	0	0	0	0	0	16	0	9	0	0	0	13	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a14f1cde2a1c88a3c8438281b08d68b	0	0	0	0	0	8	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	11	0	4	0	0	0	11	10	0	0	0	0	0	0	3	4	5	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8196a6a6346c6350d3601d22b0df2ab7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6dcb010af782f770bc02760f7f655af5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	8	0	3	0	6	0	7	0	0	5	0	9	0	8	0	7	10	7	0	0	0	0	0	0	0	0	0	0	0	0
00e17d0a7f4cfe62d50e9145176aa5e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cab9c67a94faa26a9216933ba3e1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	8	0	15	0	0	0	8	0	0	6	0	4	0	7	0	7	12	5	0	0	0	0	0	0	0	0	0	0	0	0
813fd1a9cfaec287073f4c65c07b41f9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa5c84dea6ab6ba0b4d976e53af460a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
912e4ab3cad075d945b6db8d65834592	0	5	0	0	7	9	0	8	10	0	11	0	5	0	5	0	6	0	0	4	0	0	0	3	0	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e0d13cae9c5a6d7714f5946a40bb2ec1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	4	9	0	5	0	3	0	0	7	0	8	0	10	0	9	13	9	0	0	0	0	0	0	0	0	0	0	0	0
9b02fbf0bafb45b3fa1988fc40fd8881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	11	0	0	0	7	0	0	0	0	12	0	0	0	8	17	7	0	0	0	0	0	0	0	0	0	0	0	0
acf4f3f64cdbf2006477d0b0525815f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	19	0	11	0	8	0	0	9	0	8	0	0	0	3	12	5	0	0	0	0	0	0	0	0	0	0	0	0
fe8f97c2f3e1145860ea949393f2f86f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	31	0	0	0	0	22	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e5d401172b7e236e8ab6accd6e3e4693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a37c86fd3c985df9a1cf9d5e7c05ed0c	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c7fd919af8eabcac864e57912b42c11a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	13	0	17	0	0	0	15	19	0	0	0	0	0	0	0	0	0	0	0	0	0
28a9c22573177ce5111853843c78cd23	0	0	0	0	0	0	0	4	4	0	0	0	0	4	2	0	0	0	7	0	3	10	6	13	11	4	0	0	0	3	3	3	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26ec04e2a6ebd2cec8a15ef207973123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	0	13	0	0	0	0	0	0	11	0	7	24	10	0	0	0	0	0	0	0	0	0	0	0	0
388ee891f44d968bcc00687a6dd4a1cf	0	7	7	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	6	5	0	6	5	0	6	6	6	3	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf056294b785a339c63f8527702578ff	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	0	3	5	5	7	0	0	6	0	0	5	0	6	0	0	9	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b23fa363a791f13cbf82e26bd9e23594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19f0d1ebfa3b37ed0edb1372e95e34c3	0	0	12	5	8	0	0	0	0	0	0	0	0	0	0	0	10	10	7	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6f1a931a1350d395a4baf11e08371ec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440e25a1aeb94cefb419e3fa83eb3747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	15	0	0	0	0	0	0	36	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd002152232eadb3df23a501a728cd23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13bfbe035d4afd772a36eb36a3175948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65d43491988bfe557da4d86a5ba25dae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0583a6be54548df901f73bc2ec62dfae	0	4	0	3	4	5	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	4	5	6	4	3	4	5	0	3	0	6	4	3	0	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e37b4b90dfaa324abe901a674fdc19f	0	0	5	0	0	4	0	7	0	0	9	0	0	0	3	4	5	5	0	0	0	0	2	4	0	0	0	4	3	0	4	0	0	3	5	0	2	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26163cb0a0505475ebe875501a145f34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34cbda38eaf7af56ab329008e86d129d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	11	9	0	0	0	0	0	0	7	0	0	0	0	0	8	13	17	0	0	0	0	0	0	0	0	0	0	0	0
c08fe22577d0025ef85c3783ef16228a	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	39	0	0	0	0	0	0	0	0	0	0	0	0
1044692a6b40f8b250c508932bc3b41a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c430ea492a2f9b35fb79c084901fdcf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f03cd1391b73d37a8a7cc3ba2c532696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	23	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5958244c7d76e52edfaf47add9230731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	10	0	0	0	15	0	0	0	0	11	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0
6dfc324600ba4c93a59d25ba29cb5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3a1e18320375d28b8c1304020ee7ce34	0	0	10	0	8	21	0	0	16	0	0	0	0	7	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ee181e7af48fbffd85476b1eefd0472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408c0e9afd8e8da2d0649092f76ac6ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fb08b18138d8c6a97104ee81c5248d3	0	0	5	0	0	16	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	6	11	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61a9b1daf4e3fc94764d813c9c6c3dbd	0	0	0	13	14	15	0	1	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
088f0fe22ad2aefbbb7965a5c2657f5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac937dd0986b50b6c0fc3d01f3fde005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	21	19	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
054ca7bc36af26d3bae1b4d54334ce09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0706b23830470fecc0fd15bc07c4d5ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	10	0	0	0	0	0	0	11	0	6	0	10	0	16	0	0	0	0	0	0	0	0	0	0	0	0
11356bd547f14cfc83d5ebde981a0498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	20	0	7	39	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26d8f7e0a4767264d1a8ca5b8bba5689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	43	0	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad9b86a0a374849e2c0cba34863c3635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	9	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d780235cf6ea8567b85cb334f2a78a1	0	0	3	0	2	10	0	0	9	0	0	0	0	4	0	2	2	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	3	0	0	0	0	3	0	3	3	3	3	0	0	0	0	0	5	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
82f1c87171195a188ff40414b053e837	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
435ed304e101e81fa1d3426675991f65	0	0	14	0	4	12	0	13	8	5	0	0	0	0	0	7	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8ca36f57324a32f8dda7b74d48a4a99a	0	0	10	8	9	0	0	0	7	0	0	0	0	0	0	5	4	7	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	5	0	0	0	0	4	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80cef884576f1d0d35825971a27c7c3b	0	0	0	7	4	0	0	3	4	0	0	0	0	0	7	0	0	5	4	0	0	0	0	3	0	0	0	0	0	0	8	5	0	0	0	0	0	7	3	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b05bd180cdaa828a486b395ce258474c	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	13	0	6	0	0	0	0	0	0	21	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106373064a487ce66bacad73b6b1c602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc766700de4b256cb2fee73daeea4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	7	0	11	0	0	0	0	0	0	6	0	8	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0
23cf17adc9e53794047e74c2ff18d9f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	7	0	4	0	0	11	0	0	0	10	0	0	17	10	0	0	0	0	0	0	0	0	0	0	0	0
ccf37c4c26a6ff62bb268c197fb2c141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	48	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6bfbafd1fe7a1cfba944f79393c1998f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	14	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
a4f8bf7c1b1a41ee665fd5c0fec2bc9e	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	18	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
